id,qx_series3,qx_engine
1,COUPE|(双门|)敞篷,473QB
2,两厢|三厢|四厢|厢货|厢式|加长厢|超长厢|长厢|短厢|中厢,SFG15-05
3,运动旅行车,4W12M2|4W12M1
4,SW旅行车,W12
5,警用旅行车,CA4GX13
6,旅行轿车,F1C
7,旅行车,M15C
8,旅居房车,HH413Q
9,旅居车,M18A
10,防弹越野车,ETEC
11,越野车,4A13L
12,简易救护车,D22A
13,专业救护车,ZD28D11-4DA
14,重症监护救护车,JE4D25
15,中豪华型客车,HFC4
16,中多功能车,(JM|GW|)491Q
17,中豪华客车,(JE|GA|GW|JX|)4D2
18,豪华型客车,DAM1
19,后双胎客车,ZD25
20,小型专用客车,LJ465Q
21,豪华小客车,K14B
22,中客车,DK1
23,载货车,4JB1
24,运输车,JL4
25,仓栅,D19
26,翼展车,DA465Q
27,出租车,BJ415
28,乘用车,4J2
29,冰白物流车,4G[0-9]
30,普通物流车,D19
31,物流车|物流,NHQ
32,多功能运动轿车,4RB2
33,运动轿车,ZD30
34,多功能车,DN644
35,多功能商用车,BG1
36,商务车,AG1
37,高级车,491EQ
38,豪华车,4Q20M
39,B型房车,486EQ
40,(客|)货车,(BJ|JE|JX|)493ZLQ
41,客车,JX493
42,轿车,4A9
43,架子车,HBJ64
44,厢子车,(SC|SY[0-9])[0-9][0-9]
45,皮卡,V97WLYXYL1C
46,货运王,LZ6
47,客卡,JNJ7
48,加长加高|加长后厢|(120英寸|140英寸|)加长|超长|长车|短车,SLQ6
49,网约车,BJ20
50,板簧,EQ4
51,螺簧,4A1
52,小卡,XC4F
53,客卡,YC4F
54,客卡,4F20
55,客卡,LJ4
56,客卡,4K21D4T
57,客卡,BDD
58,客卡,(CC|4CH|CH|JH|CAF|CFA|CA|GA|NJ|ZN|TJ)[0-9][0-9][0-9]
59,客卡,HFJ
60,客卡,XMQ6
61,客卡,DLCG
62,客卡,HFC102
63,客卡,CYQ
64,客卡,BQ10
65,客卡,V97
66,客卡,FD64
67,客卡,TX102
68,客卡,JL6360E1
69,客卡,4Y2
70,客卡,KLQ
71,客卡,DK4B
72,客卡,DFXC
73,客卡,4B2-
74,客卡,ZG24
75,客卡,4GZ1
76,客卡,E14V
77,客卡,47Z5
78,客卡,ACTECO-SQR
79,客卡,4W10
80,客卡,LF4
81,客卡,G4BA
82,客卡,4JK1
83,客卡,4DB1
84,客卡,43S5
85,客卡,L1M
86,客卡,L1G
87,客卡,M13R
88,客卡,YZK[0-9]
89,客卡,ZD22TE
90,客卡,KA24
91,客卡,KZQ4A-BL
92,客卡,KPQ4A-B
93,客卡,LMH
94,客卡,AF[0-9]
95,客卡,G12
96,客卡,SC6402
97,客卡,DG6
98,客卡,DL465Q|LF71[0-9]
99,客卡,7160DX
100,客卡,TDI5
101,客卡,QCJ7
102,客卡,LZW
103,客卡,4DA1
104,客卡,HXK10
105,客卡,HXK6
106,客卡,7130|7160|(LF |LF|)7161
107,客卡,NH6487SDDS6
108,客卡,FQ6
109,客卡,BJ5036XJH
110,客卡,BJ6420E
111,客卡,BJ7250EL
112,客卡,(63|64)[0-9]{2}[A-Za-z]
113,客卡,7110E|7133E|645CI
