regional,province,city,che58_name
华东,山东,青岛,qd
华东,山东,济南,jn
华东,山东,烟台,yt
华东,山东,潍坊,wf
华东,山东,临沂,linyi
华东,山东,淄博,zb
华东,山东,济宁,jining
华东,山东,泰安,ta
华东,山东,聊城,lc
华东,山东,威海,weihai
华东,山东,枣庄,zaozhuang
华东,山东,德州,dz
华东,山东,日照,rizhao
华东,山东,东营,dy
华东,山东,菏泽,heze
华东,山东,滨州,bz
华东,山东,莱芜,lw
华东,山东,章丘,zhangqiu
华东,山东,垦利,kl
华东,山东,诸城,zc
华东,山东,寿光,shouguang
华东,山东,龙口,longkou
华东,山东,曹县,caoxian
华东,山东,单县,shanxian
华东,山东,肥城,feicheng
华东,山东,高密,gaomi
华东,山东,广饶,guangrao
华东,山东,桓台,huantaixian
华东,山东,莒县,juxian
华东,山东,莱州,laizhou
华东,山东,蓬莱,penglai
华东,山东,青州,qingzhou
华东,山东,荣成,rongcheng
华东,山东,乳山,rushan
华东,山东,滕州,tengzhou
华东,山东,新泰,xintai
华东,山东,招远,zhaoyuan
华东,山东,邹城,zoucheng
华东,山东,邹平,juping
华北,山西,太原,ty
华北,山西,临汾,linfen
华北,山西,大同,dt
华北,山西,运城,yuncheng
华北,山西,晋中,jz
华北,山西,长治,changzhi
华北,山西,晋城,jincheng
华北,山西,阳泉,yq
华北,山西,吕梁,lvliang
华北,山西,忻州,xinzhou
华北,山西,朔州,shuozhou
华北,山西,临猗,linyixian
华北,山西,清徐,qingxu
西北,陕西,西安,xa
西北,陕西,咸阳,xianyang
西北,陕西,宝鸡,baoji
西北,陕西,渭南,wn
西北,陕西,汉中,hanzhong
西北,陕西,榆林,yl
西北,陕西,延安,yanan
西北,陕西,安康,ankang
西北,陕西,商洛,sl
西北,陕西,铜川,tc
西北,陕西,神木,shenmu
西南,四川,成都,cd
西南,四川,绵阳,mianyang
西南,四川,德阳,deyang
西南,四川,南充,nanchong
西南,四川,宜宾,yb
西南,四川,自贡,zg
西南,四川,乐山,ls
西南,四川,泸州,luzhou
西南,四川,达州,dazhou
西南,四川,内江,scnj
西南,四川,遂宁,suining
西南,四川,攀枝花,panzhihua
西南,四川,眉山,ms
西南,四川,广安,ga
西南,四川,资阳,zy
西南,四川,凉山,liangshan
西南,四川,广元,guangyuan
西南,四川,雅安,ya
西南,四川,巴中,bazhong
西南,四川,阿坝,ab
西南,四川,甘孜,ganzi
西南,四川,安岳,anyuexian
西南,四川,广汉,guanghanshi
西南,四川,简阳,jianyangshi
西南,四川,仁寿,renshouxian
西北,新疆,乌鲁木齐,xj
西北,新疆,昌吉,changji
西北,新疆,巴音郭楞,bygl
西北,新疆,伊犁,yili
西北,新疆,阿克苏,aks
西北,新疆,喀什,ks
西北,新疆,哈密,hami
西北,新疆,克拉玛依,klmy
西北,新疆,博尔塔拉,betl
西北,新疆,吐鲁番,tlf
西北,新疆,和田,ht
西北,新疆,石河子,shz
西北,新疆,克孜勒苏,kzls
西北,新疆,阿拉尔,ale
西北,新疆,五家渠,wjq
西北,新疆,图木舒克,tmsk
西北,新疆,库尔勒,kel
西北,新疆,阿勒泰,alt
西北,新疆,塔城,tac
西南,西藏,拉萨,lasa
西南,西藏,日喀则,rkz
西南,西藏,山南,sn
西南,西藏,林芝,linzhi
西南,西藏,昌都,changdu
西南,西藏,那曲,nq
西南,西藏,阿里,al
西南,西藏,日土,rituxian
西南,西藏,改则,gaizexian
西南,云南,昆明,km
西南,云南,曲靖,qj
西南,云南,大理,dali
西南,云南,红河,honghe
西南,云南,玉溪,yx
西南,云南,丽江,lj
西南,云南,文山,ws
西南,云南,楚雄,cx
西南,云南,西双版纳,bn
西南,云南,昭通,zt
西南,云南,德宏,dh
西南,云南,普洱,pe
西南,云南,保山,bs
西南,云南,临沧,lincang
西南,云南,迪庆,diqing
西南,云南,怒江,nujiang
华东,浙江,杭州,hz
华东,浙江,宁波,nb
华东,浙江,温州,wz
华东,浙江,金华,jh
华东,浙江,嘉兴,jx
华东,浙江,台州,tz
华东,浙江,绍兴,sx
华东,浙江,湖州,huzhou
华东,浙江,丽水,lishui
华东,浙江,衢州,quzhou
华东,浙江,舟山,zhoushan
华东,浙江,乐清,yueqingcity
华东,浙江,瑞安,ruiancity
华东,浙江,义乌,yiwu
华东,浙江,余姚,yuyao
华东,浙江,诸暨,zhuji
华东,浙江,象山,xiangshanxian
华东,浙江,温岭,wenling
华东,浙江,桐乡,tongxiang
华东,浙江,慈溪,cixi
华东,浙江,长兴,changxing
华东,浙江,嘉善,jiashanx
华东,浙江,海宁,haining
华东,浙江,德清,deqing
华东,浙江,东阳,dongyang
华东,浙江,安吉,anji
华东,浙江,苍南,cangnanxian
华东,浙江,临海,linhai
华东,浙江,永康,yongkang
华东,浙江,玉环,yuhuan
华中,湖北,武汉,wh
华中,湖北,宜昌,yc
华中,湖北,襄阳,xf
华中,湖北,荆州,jingzhou
华中,湖北,十堰,shiyan
华中,湖北,黄石,hshi
华中,湖北,孝感,xiaogan
华中,湖北,黄冈,hg
华中,湖北,恩施,es
华中,湖北,荆门,jingmen
华中,湖北,咸宁,xianning
华中,湖北,鄂州,ez
华中,湖北,随州,suizhou
华中,湖北,潜江,qianjiang
华中,湖北,天门,tm
华中,湖北,仙桃,xiantao
华中,湖北,神农架,snj
华中,湖北,宜都,yidou
华中,湖北,汉川,hanchuan
华中,湖北,枣阳,zaoyang
华中,湖南,长沙,cs
华中,湖南,株洲,zhuzhou
华中,湖南,益阳,yiyang
华中,湖南,常德,changde
华中,湖南,衡阳,hy
华中,湖南,湘潭,xiangtan
华中,湖南,岳阳,yy
华中,湖南,郴州,chenzhou
华中,湖南,邵阳,shaoyang
华中,湖南,怀化,hh
华中,湖南,永州,yongzhou
华中,湖南,娄底,ld
华中,湖南,湘西,xiangxi
华中,湖南,张家界,zjj
华中,湖南,醴陵,liling
华北,河北,石家庄,sjz
华北,河北,保定,bd
华北,河北,唐山,ts
华北,河北,廊坊,lf
华北,河北,邯郸,hd
华北,河北,秦皇岛,qhd
华北,河北,沧州,cangzhou
华北,河北,邢台,xt
华北,河北,衡水,hs
华北,河北,张家口,zjk
华北,河北,承德,chengde
华北,河北,定州,dingzhou
华北,河北,馆陶,gt
华北,河北,张北,zhangbei
华北,河北,赵县,zx
华北,河北,正定,zd
华北,河北,迁安市,qianan
华北,河北,任丘,renqiu
华北,河北,三河,sanhe
华北,河北,武安,wuan
华北,河北,雄安新区,xionganxinqu
华北,河北,燕郊,lfyanjiao
华北,河北,涿州,zhuozhou
华东,江苏,苏州,su
华东,江苏,南京,nj
华东,江苏,无锡,wx
华东,江苏,常州,cz
华东,江苏,徐州,xz
华东,江苏,南通,nt
华东,江苏,扬州,yz
华东,江苏,盐城,yancheng
华东,江苏,淮安,ha
华东,江苏,连云港,lyg
华东,江苏,泰州,taizhou
华东,江苏,宿迁,suqian
华东,江苏,镇江,zj
华东,江苏,沭阳,shuyang
华东,江苏,大丰,dafeng
华东,江苏,如皋,rugao
华东,江苏,启东,qidong
华东,江苏,溧阳,liyang
华东,江苏,海门,haimen
华东,江苏,东海,donghai
华东,江苏,扬中,yangzhong
华东,江苏,兴化,xinghuashi
华东,江苏,新沂,xinyishi
华东,江苏,泰兴,taixing
华东,江苏,如东,rudong
华东,江苏,邳州,pizhou
华东,江苏,沛县,xzpeixian
华东,江苏,靖江,jingjiang
华东,江苏,建湖,jianhu
华东,江苏,海安,haian
华东,江苏,东台,dongtai
华东,江苏,丹阳,danyang
华东,江苏,宝应县,baoyingx
华东,江苏,灌南,guannan
华东,江苏,灌云,guanyun
华东,江苏,姜堰,jiangyan
华东,江苏,金坛,jintan
华东,江苏,昆山,szkunshan
华东,江苏,泗洪,sihong
华东,江苏,泗阳,siyang
华中,江西,南昌,nc
华中,江西,赣州,ganzhou
华中,江西,九江,jj
华中,江西,宜春,yichun
华中,江西,吉安,ja
华中,江西,上饶,sr
华中,江西,萍乡,px
华中,江西,抚州,fuzhou
华中,江西,景德镇,jdz
华中,江西,新余,xinyu
华中,江西,鹰潭,yingtan
华中,江西,永新,yxx
华中,江西,乐平,lepingshi
东北,吉林,长春,cc
东北,吉林,吉林,jl
东北,吉林,四平,sp
东北,吉林,延边,yanbian
东北,吉林,松原,songyuan
东北,吉林,白城,bc
东北,吉林,通化,th
东北,吉林,白山,baishan
东北,吉林,辽源,liaoyuan
东北,吉林,公主岭,gongzhuling
东北,辽宁,沈阳,sy
东北,辽宁,大连,dl
华东,安徽,鞍山,as
东北,辽宁,锦州,jinzhou
东北,辽宁,抚顺,fushun
东北,辽宁,营口,yk
东北,辽宁,盘锦,pj
东北,辽宁,朝阳,cy
东北,辽宁,丹东,dandong
东北,辽宁,辽阳,liaoyang
东北,辽宁,本溪,benxi
东北,辽宁,葫芦岛,hld
东北,辽宁,铁岭,tl
东北,辽宁,阜新,fx
东北,辽宁,庄河,pld
东北,辽宁,瓦房店,wfd
西北,宁夏,银川,yinchuan
西北,宁夏,吴忠,wuzhong
西北,宁夏,石嘴山,szs
西北,宁夏,中卫,zw
西北,宁夏,固原,guyuan
华北,内蒙古,呼和浩特,hu
华北,内蒙古,包头,bt
华北,内蒙古,赤峰,chifeng
华北,内蒙古,鄂尔多斯,erds
华北,内蒙古,通辽,tongliao
华北,内蒙古,呼伦贝尔,hlbe
华北,内蒙古,巴彦淖尔市,bycem
华北,内蒙古,乌兰察布,wlcb
华北,内蒙古,锡林郭勒,xl
华北,内蒙古,兴安盟,xam
华北,内蒙古,乌海,wuhai
华北,内蒙古,阿拉善盟,alsm
华北,内蒙古,海拉尔,hlr
西北,青海,西宁,xn
西北,青海,海西,hx
西北,青海,海北,haibei
西北,青海,果洛,guoluo
西北,青海,海东,haidong
西北,青海,黄南,huangnan
西北,青海,玉树,ys
西北,青海,海南,hainan
华南,海南,海口,haikou
华南,海南,三亚,sanya
华南,海南,五指山,wzs
华南,海南,三沙,sansha
华南,海南,琼海,qionghai
华南,海南,文昌,wenchang
华南,海南,万宁,wanning
华南,海南,屯昌,tunchang
华南,海南,琼中,qiongzhong
华南,海南,陵水,lingshui
华南,海南,东方,df
华南,海南,定安,da
华南,海南,澄迈,cm
华南,海南,保亭,baoting
华南,海南,白沙,baish
华南,海南,儋州,danzhou
东北,黑龙江,哈尔滨,hrb
东北,黑龙江,大庆,dq
东北,黑龙江,齐齐哈尔,qqhr
东北,黑龙江,牡丹江,mdj
东北,黑龙江,绥化,suihua
东北,黑龙江,佳木斯,jms
东北,黑龙江,鸡西,jixi
东北,黑龙江,双鸭山,sys
东北,黑龙江,鹤岗,hegang
东北,黑龙江,黑河,heihe
东北,黑龙江,伊春,yich
东北,黑龙江,七台河,qth
东北,黑龙江,大兴安岭,dxal
华中,河南,郑州,zz
华中,河南,洛阳,luoyang
华中,河南,新乡,xx
华中,河南,南阳,ny
华中,河南,许昌,xc
华中,河南,平顶山,pds
华中,河南,安阳,ay
华中,河南,焦作,jiaozuo
华中,河南,商丘,sq
华中,河南,开封,kaifeng
华中,河南,濮阳,puyang
华中,河南,周口,zk
华中,河南,信阳,xy
华中,河南,驻马店,zmd
华中,河南,漯河,luohe
华中,河南,三门峡,smx
华中,河南,鹤壁,hb
华中,河南,济源,jiyuan
华中,河南,明港,mg
华中,河南,鄢陵,yanling
华中,河南,禹州,yuzhou
华中,河南,长葛,changge
华中,河南,灵宝,lingbaoshi
华中,河南,杞县,qixianqu
华中,河南,汝州,ruzhou
华中,河南,项城,xiangchengshi
华中,河南,偃师,yanshiqu
华中,河南,长垣,changyuan
华东,安徽,合肥,hf
华东,安徽,芜湖,wuhu
华东,安徽,蚌埠,bengbu
华东,安徽,阜阳,fy
华东,安徽,淮南,hn
华东,安徽,安庆,anqing
华东,安徽,宿州,suzhou
华东,安徽,六安,la
华东,安徽,淮北,huaibei
华东,安徽,滁州,chuzhou
华东,安徽,马鞍山,mas
华东,安徽,铜陵,tongling
华东,安徽,宣城,xuancheng
华东,安徽,亳州,bozhou
华东,安徽,黄山,huangshan
华东,安徽,池州,chizhou
华东,安徽,巢湖,ch
华东,安徽,和县,hexian
华东,安徽,霍邱,hq
华东,安徽,桐城,tongcheng
华东,安徽,宁国,ningguo
华东,安徽,天长,tianchang
华南,福建,福州,fz
华南,福建,厦门,xm
华南,福建,泉州,qz
华南,福建,莆田,pt
华南,福建,漳州,zhangzhou
华南,福建,宁德,nd
华南,福建,三明,sm
华南,福建,南平,np
华南,福建,龙岩,ly
华南,福建,武夷山,wuyishan
华南,福建,石狮,shishi
华南,福建,晋江,jinjiangshi
华南,福建,南安,nananshi
华南,福建,龙海,longhai
华南,广东,深圳,sz
华南,广东,广州,gz
华南,广东,东莞,dg
华南,广东,佛山,fs
华南,广东,中山,zs
华南,广东,珠海,zh
华南,广东,惠州,huizhou
华南,广东,江门,jm
华南,广东,汕头,st
华南,广东,湛江,zhanjiang
华南,广东,肇庆,zq
华南,广东,茂名,mm
华南,广东,揭阳,jy
华南,广东,梅州,mz
华南,广东,清远,qingyuan
华南,广东,阳江,yj
华南,广东,韶关,sg
华南,广东,河源,heyuan
华南,广东,云浮,yf
华南,广东,汕尾,sw
华南,广东,潮州,chaozhou
华南,广东,台山,taishan
华南,广东,阳春,yangchun
华南,广东,顺德,sd
华南,广东,惠东,huidong
华南,广东,博罗,boluo
华南,广东,海丰,haifengxian
华南,广西,南宁,nn
华南,广西,柳州,liuzhou
华南,广西,桂林,gl
华南,广西,玉林,yulin
华南,广西,梧州,wuzhou
华南,广西,北海,bh
华南,广西,贵港,gg
华南,广西,钦州,qinzhou
华南,广西,百色,baise
华南,广西,河池,hc
华南,广西,来宾,lb
华南,广西,贺州,hezhou
华南,广西,防城港,fcg
华南,广西,崇左,chongzuo
西南,贵州,贵阳,gy
西南,贵州,遵义,zunyi
西南,贵州,黔东南,qdn
西南,贵州,黔南,qn
西南,贵州,六盘水,lps
西南,贵州,毕节,bijie
西南,贵州,铜仁,tr
西南,贵州,安顺,anshun
西南,贵州,黔西南,qxn
西南,贵州,仁怀,renhuaishi
西北,甘肃,兰州,lz
西北,甘肃,天水,tianshui
西北,甘肃,白银,by
西北,甘肃,庆阳,qingyang
西北,甘肃,平凉,pl
西北,甘肃,酒泉,jq
西北,甘肃,张掖,zhangye
西北,甘肃,武威,wuwei
西北,甘肃,定西,dx
西北,甘肃,金昌,jinchang
西北,甘肃,陇南,ln
西北,甘肃,临夏,linxia
西北,甘肃,嘉峪关,jyg
西北,甘肃,甘南,gn
华北,北京,北京,bj
华东,上海,上海,sh
华北,天津,天津,tj
西南,重庆,重庆,cq
