"id_che300","id_autohome","match_type_ah","is_only_ah"
"1",13521,1,1
"2",13522,1,1
"3",13515,1,1
"4",13523,1,1
"5",13524,1,1
"6",13525,1,1
"7",16957,1,1
"8",13526,1,1
"9",13527,1,1
"10",10760,1,1
"11",10761,1,1
"12",10762,1,1
"13",10763,1,1
"14",10764,1,1
"15",10765,1,1
"16",10766,1,1
"17",10767,1,1
"18",8575,1,1
"19",8578,1,1
"20",8579,1,1
"21",8580,1,1
"22",8581,1,1
"23",8583,1,1
"24",8584,1,1
"25",8585,1,1
"26",5863,1,1
"27",5886,1,1
"28",5887,1,1
"29",5888,1,1
"30",5889,1,1
"31",5864,1,1
"32",5890,1,1
"33",4637,1,1
"34",4641,1,1
"35",4642,1,1
"36",4640,1,1
"37",4639,1,1
"38",15734,1,1
"39",15837,1,1
"40",15838,1,1
"41",15839,1,1
"42",15840,1,1
"43",15841,1,1
"44",11446,1,1
"45",11447,1,1
"46",11448,1,1
"47",11450,1,1
"48",11449,1,1
"49",9017,1,1
"50",9019,1,1
"51",9020,1,1
"52",9021,1,1
"53",9022,1,1
"54",5302,1,1
"55",7362,1,1
"56",7363,1,1
"57",7364,1,1
"58",12412,1,1
"59",12413,1,1
"60",12414,1,1
"61",12203,1,1
"62",12418,1,1
"63",12419,1,1
"64",12415,1,1
"65",12416,1,1
"66",12417,1,1
"67",12268,1,1
"68",9305,1,1
"69",9306,1,1
"70",9307,1,1
"71",9316,1,1
"72",9308,1,1
"73",9309,1,1
"74",9310,1,1
"75",9315,1,1
"76",9313,1,1
"77",9311,1,1
"78",9312,1,1
"80",5774,1,1
"81",5775,1,1
"82",5779,1,1
"83",5782,1,1
"84",5783,1,1
"85",5781,1,1
"86",5895,1,1
"87",5777,1,1
"88",5780,1,1
"89",5778,1,1
"90",5776,1,1
"91",4441,1,1
"92",4442,1,1
"93",4443,1,1
"94",4444,1,1
"95",4445,1,1
"96",4446,1,1
"97",4430,1,1
"98",4447,1,1
"99",4448,1,1
"100",4449,1,1
"101",3667,1,1
"102",3668,1,1
"103",3670,1,1
"104",3671,1,1
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,NA
"108",NA,NA,NA
"109",NA,NA,NA
"110",NA,NA,NA
"111",2641,1,1
"112",NA,NA,NA
"113",2643,1,1
"114",NA,NA,NA
"115",NA,NA,NA
"116",1397,1,1
"117",1598,1,1
"118",1878,1,1
"119",1596,1,1
"120",NA,NA,NA
"122",1721,1,1
"123",NA,NA,NA
"124",NA,NA,NA
"125",2562,1,1
"126",1599,1,1
"127",NA,NA,NA
"128",NA,NA,NA
"129",NA,NA,NA
"130",1723,1,1
"145",NA,NA,NA
"146",NA,NA,NA
"149",NA,NA,NA
"150",NA,NA,NA
"151",NA,NA,NA
"152",NA,NA,NA
"153",NA,NA,NA
"154",NA,NA,NA
"157",NA,NA,NA
"158",NA,NA,NA
"159",NA,NA,NA
"160",NA,NA,NA
"161",NA,NA,NA
"163",NA,NA,NA
"164",NA,NA,NA
"165",NA,NA,NA
"166",NA,NA,NA
"167",NA,NA,NA
"168",14775,1,1
"169",15533,1,1
"170",15534,1,1
"171",14774,1,1
"172",15535,1,1
"173",14411,1,1
"178",2916,1,1
"179",2920,1,1
"180",2921,1,1
"181",NA,NA,NA
"182",1523,1,1
"184",1524,1,1
"185",NA,NA,NA
"186",NA,NA,NA
"187",1525,1,1
"188",NA,NA,NA
"190",NA,NA,NA
"191",NA,NA,NA
"192",NA,NA,NA
"193",NA,NA,NA
"194",981,1,1
"195",NA,NA,NA
"197",147,1,1
"198",982,2,1
"199",982,2,0
"200",854,1,1
"201",NA,NA,NA
"202",NA,NA,NA
"204",NA,NA,NA
"205",NA,NA,NA
"206",NA,NA,NA
"207",NA,NA,NA
"208",NA,NA,NA
"218",15642,1,1
"219",15643,1,1
"220",15650,1,1
"221",15649,1,1
"222",15644,1,1
"223",15651,1,1
"224",15646,1,1
"225",15645,1,1
"226",15647,1,1
"227",15648,1,1
"228",13627,1,1
"229",13628,1,1
"230",13634,1,1
